2025-11-18 21:48:17 | INFO | trades | OPEN | SELL | qty=21250000.00 entry=1.15589 sl=1.15616 tp=1.15528
2025-11-18 21:48:17 | INFO | trades | CLOSE | SELL | qty=21250000.00 exit=1.15616 pnl=-5903.41 R=-1.00
2025-11-18 21:48:17 | INFO | trades | OPEN | SELL | qty=21250000.00 entry=1.15619 sl=1.15649 tp=1.15566
2025-11-18 21:48:17 | INFO | trades | CLOSE | SELL | qty=21250000.00 exit=1.15649 pnl=-6452.35 R=-1.00
2025-11-18 21:48:18 | INFO | trades | OPEN | BUY | qty=21250000.00 entry=1.15723 sl=1.15697 tp=1.15867
2025-11-18 21:48:18 | INFO | trades | CLOSE | BUY | qty=21250000.00 exit=1.15867 pnl=30698.66 R=0.00
2025-11-18 21:48:18 | INFO | trades | OPEN | SELL | qty=21250000.00 entry=1.15840 sl=1.15875 tp=1.15818
2025-11-18 21:48:18 | INFO | trades | CLOSE | SELL | qty=21250000.00 exit=1.15875 pnl=-7476.21 R=-1.00
2025-11-18 21:48:18 | INFO | trades | OPEN | BUY | qty=21250000.00 entry=1.15907 sl=1.15874 tp=1.15957
2025-11-18 21:48:18 | INFO | trades | CLOSE | BUY | qty=21250000.00 exit=1.15874 pnl=-7067.90 R=-1.00
2025-11-18 21:48:18 | INFO | trades | OPEN | SELL | qty=21250000.00 entry=1.16418 sl=1.16444 tp=1.16335
2025-11-18 21:48:18 | INFO | trades | CLOSE | SELL | qty=21250000.00 exit=1.16444 pnl=-5409.66 R=-1.00
2025-11-18 21:48:18 | INFO | trades | OPEN | SELL | qty=21250000.00 entry=1.16424 sl=1.16447 tp=1.16329
2025-11-18 21:48:18 | INFO | trades | CLOSE | SELL | qty=21250000.00 exit=1.16447 pnl=-4860.18 R=-1.00
2025-11-18 21:48:18 | INFO | trades | OPEN | SELL | qty=21250000.00 entry=1.16014 sl=1.16044 tp=1.15921
2025-11-18 21:48:18 | INFO | trades | CLOSE | SELL | qty=21250000.00 exit=1.16044 pnl=-6405.36 R=-1.00
2025-11-18 21:48:19 | INFO | trades | OPEN | BUY | qty=12689318.52 entry=1.16005 sl=1.15886 tp=1.16220
2025-11-18 21:48:19 | INFO | trades | CLOSE | BUY | qty=12689318.52 exit=1.15886 pnl=-15139.26 R=-1.00
2025-11-18 21:48:19 | INFO | trades | OPEN | SELL | qty=15300000.00 entry=1.34393 sl=1.34418 tp=1.34291
2025-11-18 21:48:19 | INFO | trades | CLOSE | SELL | qty=15300000.00 exit=1.34393 pnl=-0.00 R=0.00
2025-11-18 21:48:19 | INFO | trades | OPEN | BUY | qty=15300000.00 entry=1.34392 sl=1.34363 tp=1.34443
